subject_id,mean,diff
4,64.27233116658647,-51.45533766682708
10,23.81601690337881,21.63203380675762
11,41.39960575165047,-5.200788496699069
12,39.363765590033495,0.7275311800669897
14,46.09051094177895,-11.818978116442096
15,16.992357126461258,33.984714252922515
17,47.052837779228454,-11.894324441543091
20,16.410617748581394,32.82123549716279
21,50.13979441881848,-17.720411162363042
22,58.68290747865257,-30.634185042694874
25,18.417640225709043,36.835280451418086
29,49.44141031854104,-17.117179362917923
31,47.58753125338604,-10.824937493227921
32,23.773107439491113,17.546214878982227
33,23.463645042596387,22.927290085192773
35,16.809197437739492,33.618394875478984
37,24.15510373867414,20.31020747734828
39,25.908489065168922,15.816978130337844
41,47.52399052290307,-10.95201895419386
46,26.95347820056768,15.90695640113536
53,42.76754635204452,-8.464907295910955
56,62.66389149782584,-38.672217004348326
58,50.37049787642886,-21.259004247142286
61,55.136273558523115,-27.727452882953777
62,53.48305597793559,-23.03388804412881
74,53.07517274580145,-25.8496545083971
75,16.9548780822057,33.9097561644114
76,28.827212487225356,11.654424974450713
79,22.507608015349525,23.01521603069905
82,44.52634696100826,-8.947306077983477
83,23.05221634877037,22.104432697540737
91,51.083807658921884,-21.83238468215623
94,16.771999725259544,33.54399945051909
97,16.703243518981235,33.40648703796247
