subject_id,mean,diff
1,35.234622955322266,-59.53075408935547
13,22.25961685180664,0.5192337036132812
19,38.12150955200195,2.2430191040039062
23,54.52944850921631,-18.941102981567383
26,59.89261436462402,-16.214771270751953
27,42.78179359436035,-0.4364128112792969
3,36.166799783706665,-47.66640043258667
30,3.7391185760498047,7.478237152099609
34,34.36519813537598,-5.269603729248047
40,55.84990310668945,-16.300193786621094
47,4.281163692474365,8.56232738494873
48,48.500633239746094,-4.9987335205078125
49,63.96782684326172,-22.064346313476562
50,64.42189407348633,-19.156211853027344
54,42.739885330200195,-2.5202293395996094
55,15.630721807479858,-4.738556385040283
57,55.81608581542969,-8.367828369140625
6,29.039711952209473,4.079423904418945
64,11.150529861450195,8.30105972290039
65,28.366857528686523,-3.266284942626953
66,22.653167724609375,3.30633544921875
68,40.87760353088379,3.755207061767578
78,56.469194412231445,-7.061611175537109
8,10.244742393493652,6.489484786987305
80,53.268898010253906,-5.4622039794921875
84,55.1942720413208,-9.611455917358398
85,2.071167290210724,4.142334580421448
87,62.08315563201904,-27.833688735961914
88,9.36313772201538,-1.2737245559692383
92,34.10114097595215,8.202281951904297
95,11.189867973327637,12.379735946655273
96,15.894242763519287,17.788485527038574
99,11.95845651626587,1.9169130325317383
