subject_id,mean,diff
1,47.09796142578125,-35.8040771484375
13,14.361677169799805,-15.27664566040039
19,22.459708213806152,-29.080583572387695
23,35.97976732254028,-56.040465354919434
26,38.80668640136719,-58.386627197265625
27,26.370176792144775,-33.25964641571045
3,53.6351203918457,-12.729759216308594
30,2.5637617111206055,5.127523422241211
34,20.725048542022705,-32.54990291595459
40,38.86387491226196,-50.272250175476074
47,1.8725024461746216,3.745004892349243
48,30.22777271270752,-41.54445457458496
49,49.45981407165527,-51.08037185668945
50,42.993216037750244,-62.01356792449951
54,24.59534442424774,-38.80931115150452
55,10.48969841003418,-15.02060317993164
57,33.85458421707153,-52.290831565856934
6,16.085859060287476,-21.82828187942505
64,5.090334415435791,-3.819331169128418
65,16.748181343078613,-26.503637313842773
66,13.386178255081177,-15.227643489837646
68,22.273178100585938,-33.453643798828125
78,33.745988607406616,-52.50802278518677
8,6.115158319473267,-1.7696833610534668
80,31.699138641357422,-48.601722717285156
84,34.240822315216064,-51.51835536956787
85,1.6836073398590088,3.3672146797180176
87,41.45527791976929,-69.08944416046143
88,7.160593867301941,-5.678812265396118
92,20.184178352355957,-19.631643295288086
95,4.992663860321045,-0.014672279357910156
96,6.674416899681091,-0.6511662006378174
99,7.378819823265076,-7.242360353469849
