subject_id,mean,diff
1,62.95363807678223,-4.092723846435547
13,42.24571228027344,40.491424560546875
19,49.73730659484863,25.474613189697266
23,63.35551452636719,-1.288970947265625
26,65.34433650970459,-5.31132698059082
27,52.7720422744751,19.544084548950195
3,60.459293365478516,0.9185867309570312
30,31.02984046936035,62.0596809387207
34,49.670780181884766,25.34156036376953
40,63.376298904418945,-1.2474021911621094
47,31.06565761566162,62.13131523132324
48,56.801090240478516,11.602180480957031
49,68.8792610168457,-12.241477966308594
50,68.2921257019043,-11.415748596191406
54,53.29022407531738,18.580448150634766
55,40.12716484069824,44.254329681396484
57,61.277581214904785,2.5551624298095703
6,44.69770908355713,35.39541816711426
64,34.570157051086426,55.14031410217285
65,46.10956954956055,32.219139099121094
66,41.68431854248047,41.36863708496094
68,50.72834777832031,23.456695556640625
78,61.31659126281738,2.6331825256347656
8,34.60346794128418,55.20693588256836
80,59.35103511810303,6.702070236206055
84,61.357717514038086,2.715435028076172
85,30.93590545654297,61.87181091308594
87,69.3128776550293,-13.374244689941406
88,36.07824516296387,52.156490325927734
92,46.19640350341797,32.39280700683594
95,33.470149993896484,56.94029998779297
96,34.665815353393555,55.33163070678711
99,36.65588855743408,51.311777114868164
