subject_id,mean,diff
100,2.12503981590271,2.25007963180542
16,30.473045825958252,-53.053908348083496
18,29.495203256607056,-51.00959348678589
2,48.45255637168884,-83.09488725662231
24,1.6150004863739014,3.2300009727478027
28,31.002305507659912,-53.995388984680176
36,6.1996506452560425,-5.600698709487915
38,23.9313325881958,-40.1373348236084
42,8.756401062011719,-10.487197875976562
43,5.185909986495972,-3.6281800270080566
44,30.455257415771484,-53.08948516845703
45,36.14939212799072,-63.701215744018555
5,12.869173288345337,-14.261653423309326
51,16.171756744384766,-25.65648651123047
52,1.6171395778656006,3.234279155731201
59,28.94016981124878,-50.11966037750244
60,1.5879974365234375,3.175994873046875
63,8.776693344116211,-10.446613311767578
67,31.045172810554504,-53.90965437889099
69,28.996195316314697,-50.007609367370605
7,21.444997310638428,-35.110005378723145
70,34.98746395111084,-62.02507209777832
71,11.297308325767517,-15.405383348464966
72,33.538081645965576,-58.92383670806885
73,35.481141328811646,-63.03771734237671
77,1.4949305057525635,2.989861011505127
81,5.200872302055359,-3.5982553958892822
86,1.6808743476867676,3.361748695373535
89,36.43822121620178,-65.12355756759644
9,8.247295141220093,-9.505409717559814
90,38.00909173488617,-67.98181653022766
93,33.49219536781311,-59.01560926437378
98,28.926433324813843,-50.147133350372314
